Distance_Num,Bill subtotal,Packaging charges,Total,Target_Beli,Status_Transaksi
1.0,799.0,34.95,733.95,1,Sukses (Delivered)
2.0,609.0,30.45,639.45,1,Sukses (Delivered)
6.0,325.0,16.25,341.25,1,Sukses (Delivered)
7.0,508.0,20.75,435.75,1,Sukses (Delivered)
7.0,1017.0,50.85,1067.85,1,Sukses (Delivered)
2.0,669.0,40.14,709.14,1,Sukses (Delivered)
2.0,638.0,25.9,543.9,1,Sukses (Delivered)
4.0,310.0,11.5,241.5,1,Sukses (Delivered)
3.0,984.1,44.29,929.98,1,Sukses (Delivered)
1.0,749.0,32.95,691.95,1,Sukses (Delivered)
7.0,249.0,7.45,156.45,1,Sukses (Delivered)
2.0,679.0,40.74,719.74,1,Sukses (Delivered)
2.0,1088.0,33.43,701.93,1,Sukses (Delivered)
5.0,449.0,17.45,366.45,1,Sukses (Delivered)
7.0,259.0,8.0,168.0,1,Sukses (Delivered)
4.0,620.0,15.5,325.5,1,Sukses (Delivered)
8.0,489.0,24.45,513.45,1,Sukses (Delivered)
2.0,415.0,16.75,351.75,1,Sukses (Delivered)
3.0,635.0,27.75,582.75,1,Sukses (Delivered)
3.0,910.0,36.75,771.75,1,Sukses (Delivered)
6.0,665.0,29.25,614.25,1,Sukses (Delivered)
2.0,310.0,11.5,241.5,1,Sukses (Delivered)
3.0,239.0,11.95,250.95,1,Sukses (Delivered)
6.0,458.0,22.9,480.9,1,Sukses (Delivered)
4.0,375.0,18.75,393.75,1,Sukses (Delivered)
2.0,788.0,39.4,827.4,1,Sukses (Delivered)
3.0,489.0,24.45,513.45,1,Sukses (Delivered)
10.0,1987.0,99.35,2086.35,1,Sukses (Delivered)
3.0,986.0,31.38,658.88,1,Sukses (Delivered)
7.0,859.0,42.95,901.95,1,Sukses (Delivered)
6.0,310.0,11.5,241.5,1,Sukses (Delivered)
2.0,525.0,22.25,467.25,1,Sukses (Delivered)
2.0,1729.0,44.95,943.95,1,Sukses (Delivered)
9.0,1276.0,59.15,1242.15,1,Sukses (Delivered)
6.0,538.0,21.9,459.9,1,Sukses (Delivered)
1.0,325.0,16.25,341.25,1,Sukses (Delivered)
9.0,2090.0,52.25,1097.25,1,Sukses (Delivered)
4.0,1094.05,48.12,1010.54,1,Sukses (Delivered)
3.0,259.0,12.95,271.95,1,Sukses (Delivered)
5.0,1638.0,68.4,1436.4,1,Sukses (Delivered)
2.0,1170.0,29.25,614.25,1,Sukses (Delivered)
1.0,952.0,41.6,873.6,1,Sukses (Delivered)
4.0,838.0,41.9,879.9,1,Sukses (Delivered)
4.0,899.0,34.95,733.95,1,Sukses (Delivered)
9.0,1238.0,53.15,1116.15,1,Sukses (Delivered)
3.0,558.0,27.9,585.9,1,Sukses (Delivered)
5.0,599.0,14.98,314.48,1,Sukses (Delivered)
3.0,920.0,37.25,782.25,1,Sukses (Delivered)
1.0,635.0,15.88,333.38,1,Sukses (Delivered)
5.0,679.0,29.95,628.95,1,Sukses (Delivered)
11.0,699.0,41.94,740.94,1,Sukses (Delivered)
5.0,918.0,39.9,837.9,1,Sukses (Delivered)
7.0,649.0,26.45,555.45,1,Sukses (Delivered)
3.0,249.0,12.45,261.45,1,Sukses (Delivered)
6.0,1118.0,48.0,1008.0,1,Sukses (Delivered)
4.0,349.0,17.45,366.45,1,Sukses (Delivered)
2.0,599.0,29.95,628.95,1,Sukses (Delivered)
7.0,289.0,14.45,303.45,1,Sukses (Delivered)
3.0,509.0,25.45,534.45,1,Sukses (Delivered)
3.0,1108.0,45.4,953.4,1,Sukses (Delivered)
4.0,459.0,22.95,481.95,1,Sukses (Delivered)
7.0,918.0,45.9,963.9,1,Sukses (Delivered)
5.0,579.0,24.45,513.45,1,Sukses (Delivered)
4.0,757.05,37.85,794.9,1,Sukses (Delivered)
1.0,599.0,13.48,283.03,1,Sukses (Delivered)
4.0,895.0,36.0,756.0,1,Sukses (Delivered)
3.0,549.0,27.45,576.45,1,Sukses (Delivered)
7.0,705.0,30.49,640.31,1,Sukses (Delivered)
5.0,405.0,15.75,330.75,1,Sukses (Delivered)
5.0,299.0,9.95,208.95,1,Sukses (Delivered)
5.0,599.0,29.95,628.95,1,Sukses (Delivered)
1.0,415.0,20.75,435.75,1,Sukses (Delivered)
4.0,435.0,10.88,228.38,1,Sukses (Delivered)
2.0,1076.0,48.8,1024.8,1,Sukses (Delivered)
5.0,599.0,26.96,566.06,1,Sukses (Delivered)
1.0,895.0,44.75,939.75,1,Sukses (Delivered)
1.0,2097.0,91.35,1918.35,1,Sukses (Delivered)
2.0,459.0,18.45,387.45,1,Sukses (Delivered)
8.0,2105.0,105.25,2210.25,1,Sukses (Delivered)
5.0,370.0,18.5,388.5,1,Sukses (Delivered)
2.0,558.0,27.9,585.9,1,Sukses (Delivered)
6.0,1238.0,53.54,1124.41,1,Sukses (Delivered)
2.0,808.0,30.4,638.4,1,Sukses (Delivered)
8.0,1507.0,75.35,1582.35,1,Sukses (Delivered)
1.0,199.0,4.98,104.48,1,Sukses (Delivered)
5.0,1198.0,49.9,1047.9,1,Sukses (Delivered)
5.0,299.0,9.95,208.95,1,Sukses (Delivered)
3.0,1098.0,49.41,1037.61,1,Sukses (Delivered)
5.0,599.0,25.45,534.45,1,Sukses (Delivered)
2.0,310.0,15.5,325.5,1,Sukses (Delivered)
2.0,859.0,42.95,901.95,1,Sukses (Delivered)
6.0,310.0,11.5,241.5,1,Sukses (Delivered)
7.0,289.0,14.45,303.45,1,Sukses (Delivered)
3.0,1098.0,54.9,1152.9,1,Sukses (Delivered)
1.0,259.0,8.0,168.0,1,Sukses (Delivered)
4.0,814.0,40.7,854.7,1,Sukses (Delivered)
3.0,319.0,10.95,229.95,1,Sukses (Delivered)
3.0,596.0,24.8,520.8,1,Sukses (Delivered)
1.0,659.0,32.95,691.95,1,Sukses (Delivered)
4.0,715.0,30.92,649.39,1,Sukses (Delivered)
6.0,249.0,7.95,166.95,1,Sukses (Delivered)
2.0,467.0,18.35,385.35,1,Sukses (Delivered)
1.0,479.0,23.95,502.95,1,Sukses (Delivered)
3.0,549.0,27.45,576.45,1,Sukses (Delivered)
5.0,479.0,19.95,418.95,1,Sukses (Delivered)
4.0,585.0,24.75,519.75,1,Sukses (Delivered)
3.0,866.0,37.3,783.3,1,Sukses (Delivered)
5.0,1025.0,42.5,892.5,1,Sukses (Delivered)
10.0,458.0,22.9,480.9,1,Sukses (Delivered)
3.0,325.0,8.13,170.63,1,Sukses (Delivered)
11.0,599.0,29.95,628.95,1,Sukses (Delivered)
7.0,465.0,23.25,488.25,1,Sukses (Delivered)
2.0,728.0,31.9,669.9,1,Sukses (Delivered)
2.0,1475.0,38.0,798.0,1,Sukses (Delivered)
8.0,310.0,10.5,220.5,1,Sukses (Delivered)
7.0,444.05,17.2,361.25,1,Sukses (Delivered)
6.0,659.0,32.95,691.95,1,Sukses (Delivered)
1.0,355.0,12.75,267.75,1,Sukses (Delivered)
4.0,659.0,32.95,691.95,1,Sukses (Delivered)
7.0,259.0,12.95,271.95,1,Sukses (Delivered)
